date,mean_polarity
08-05-2019,0.020632
09-05-2019,-0.133557
10-05-2019,0.302354
11-05-2019,-0.031501
12-05-2019,0.016258
13-05-2019,0.254318
14-05-2019,0.287447
15-05-2019,0.012359
16-05-2019,0.261169
17-05-2019,0.24322
18-05-2019,-0.060352
19-05-2019,-0.129246
20-05-2019,0.373988
21-05-2019,0.240822
22-05-2019,-0.26332
23-05-2019,-0.63973
24-05-2019,-0.018154
25-05-2019,-0.02002
26-05-2019,0.137676
27-05-2019,0.021747
28-05-2019,0.080081
29-05-2019,-0.29162
30-05-2019,-0.079727
31-05-2019,-0.384129
01-06-2019,-0.144422
02-06-2019,0.22845
03-06-2019,-0.174923
04-06-2019,-0.337579
05-06-2019,-0.311966
06-06-2019,-0.328555
07-06-2019,0.282268
08-06-2019,0.018295
09-06-2019,0.009762
10-06-2019,0.106964
11-06-2019,0.040643
12-06-2019,-0.356132
13-06-2019,0.236435
14-06-2019,0.176173
15-06-2019,-0.412806
16-06-2019,0.154968
17-06-2019,-0.021663
18-06-2019,-0.118174
19-06-2019,0.133298
20-06-2019,0.482123
21-06-2019,0.486459
22-06-2019,0.281328
23-06-2019,0.305442
24-06-2019,0.305877
25-06-2019,-0.140889
26-06-2019,0.304265
27-06-2019,-0.165815
28-06-2019,0.022614
29-06-2019,0.241539
30-06-2019,0.032095
01-07-2019,0.406531
02-07-2019,-0.260094
03-07-2019,0.063174
04-07-2019,0.12743
05-07-2019,0.024746
06-07-2019,0.135149
07-07-2019,0.114782
08-07-2019,0.172584
09-07-2019,0.119169
10-07-2019,0.132496
11-07-2019,0.24577
12-07-2019,0.363634
13-07-2019,0.230883
14-07-2019,0.052217
15-07-2019,0.06938
16-07-2019,-0.013404
17-07-2019,-0.026252
18-07-2019,-0.065334
19-07-2019,0.149474
20-07-2019,0.144725
21-07-2019,0.11982
22-07-2019,0.439197
23-07-2019,0.13763
24-07-2019,-0.02835
25-07-2019,-0.017233
26-07-2019,-0.005552
27-07-2019,0.157506
28-07-2019,0.117299
29-07-2019,-0.062743
30-07-2019,0.252148
31-07-2019,0.134954
01-08-2019,-0.269257
02-08-2019,-0.008881
03-08-2019,-0.002386
04-08-2019,-0.028768
05-08-2019,-0.437038
06-08-2019,-0.208272
07-08-2019,-0.448209
08-08-2019,0.199117
09-08-2019,0.112677
10-08-2019,0.10718
11-08-2019,-0.059454
12-08-2019,-0.301601
13-08-2019,-0.10558
14-08-2019,-0.017751
15-08-2019,-0.226932
16-08-2019,0.136362
17-08-2019,0.053029
18-08-2019,0.047882
19-08-2019,0.296364
20-08-2019,0.19573
21-08-2019,0.264555
22-08-2019,-0.26202
23-08-2019,0.02453
24-08-2019,0
25-08-2019,0.059898
26-08-2019,0
27-08-2019,0.215524
28-08-2019,0.28334
29-08-2019,-0.120181
30-08-2019,-0.362196
31-08-2019,0.242018
01-09-2019,0.241089
02-09-2019,-0.523776
03-09-2019,-0.358245
04-09-2019,0.118985
05-09-2019,0.010734
06-09-2019,0.209111
07-09-2019,0.27699
08-09-2019,0.003418
09-09-2019,0.301563
10-09-2019,0.252792
11-09-2019,-0.049566
12-09-2019,-0.304644
13-09-2019,-0.299627
14-09-2019,0.205067
15-09-2019,0.266781
16-09-2019,0.541715
17-09-2019,0.045031
18-09-2019,-0.176241
19-09-2019,0.113523
20-09-2019,0.252701
21-09-2019,0.23833
22-09-2019,0.312636
23-09-2019,-0.019919
24-09-2019,-0.183263
25-09-2019,-0.185378
26-09-2019,-0.090172
27-09-2019,-0.378699
28-09-2019,0.119954
29-09-2019,-0.061494
30-09-2019,0.038109
01-10-2019,0
02-10-2019,-0.256522
03-10-2019,-0.38149
04-10-2019,-0.089984
05-10-2019,0.024781
06-10-2019,-0.04384
07-10-2019,-0.104533
08-10-2019,-0.023839
09-10-2019,-0.238935
10-10-2019,-0.223518
11-10-2019,0.726473
12-10-2019,0.509521
13-10-2019,0.33795
14-10-2019,-0.087858
15-10-2019,-0.214533
16-10-2019,-0.04199
17-10-2019,-0.212785
18-10-2019,-0.088249
19-10-2019,0.061962
20-10-2019,0.165501
21-10-2019,-0.139246
22-10-2019,-0.040015
23-10-2019,-0.165411
24-10-2019,-0.089206
25-10-2019,-0.221499
26-10-2019,-0.042119
27-10-2019,0.226944
28-10-2019,-0.180953
29-10-2019,-0.363063
30-10-2019,-0.417394
31-10-2019,-0.103129
01-11-2019,0.193573
02-11-2019,0.160727
03-11-2019,-0.066056
04-11-2019,0.112882
05-11-2019,0.232044
06-11-2019,-0.232949
07-11-2019,0.067214
08-11-2019,-0.251659
09-11-2019,-0.090592
10-11-2019,-0.331084
11-11-2019,-0.453528
12-11-2019,0.01553
13-11-2019,-0.008248
14-11-2019,0.035704
15-11-2019,0.077308
16-11-2019,0.183883
17-11-2019,0.299364
18-11-2019,0.097628
19-11-2019,-0.272755
20-11-2019,-0.090098
21-11-2019,-0.095411
22-11-2019,-0.002995
23-11-2019,0.189371
24-11-2019,0.297651
25-11-2019,0.471016
26-11-2019,0.207707
27-11-2019,0.016607
28-11-2019,-0.247225
29-11-2019,-0.227558
30-11-2019,-0.122495
01-12-2019,0.34649
02-12-2019,0.230396
03-12-2019,0.187683
04-12-2019,0.323033
05-12-2019,0.324041
06-12-2019,0.140244
07-12-2019,0.28026
08-12-2019,0.122946
09-12-2019,0.009356
10-12-2019,-0.04149
11-12-2019,-0.232965
12-12-2019,0.110139
13-12-2019,0.345612
14-12-2019,0.26519
15-12-2019,0.183793
16-12-2019,0.024467
17-12-2019,0.358983
18-12-2019,-0.166513
19-12-2019,-0.161697
20-12-2019,0.17113
21-12-2019,0.292083
22-12-2019,0.150174
23-12-2019,-0.131318
24-12-2019,-0.10376
25-12-2019,0.111764
26-12-2019,0.372107
27-12-2019,0.488596
28-12-2019,0.226261
29-12-2019,0.376685
30-12-2019,0.210192
31-12-2019,0.227397
01-01-2020,0.163902
02-01-2020,0.264282
03-01-2020,0.511674
04-01-2020,0.36878
05-01-2020,0.252211
06-01-2020,0.447744
07-01-2020,-0.004779
08-01-2020,0.092465
09-01-2020,0.039459
10-01-2020,-0.010889
11-01-2020,0.098345
12-01-2020,0.066724
13-01-2020,-0.033988
14-01-2020,-0.019849
15-01-2020,-0.205995
16-01-2020,0.124586
17-01-2020,0.093066
18-01-2020,0.254071
19-01-2020,0.403097
20-01-2020,0.217579
21-01-2020,-0.165256
22-01-2020,0
23-01-2020,-0.23073
24-01-2020,-0.148292
25-01-2020,0.051204
26-01-2020,0.075096
27-01-2020,-0.442911
