Date,Return,sentiment_t_minus_1
22-03-2021,0.001393728,0.284302
23-03-2021,-0.061098659,-0.056413
24-03-2021,0.057843599,-0.453432
25-03-2021,-0.038941292,0.565134
26-03-2021,0.041422299,-0.017504
29-03-2021,0.006329624,0.399502
30-03-2021,-0.013011336,0.002275
31-03-2021,-0.009398565,-0.03305
01-04-2021,0.020561472,0.148519
05-04-2021,-0.042680283,0.392491
06-04-2021,0.009448385,0.065823
07-04-2021,0.006671987,0.291912
08-04-2021,0.000633112,0.17045
09-04-2021,-0.003963541,0
12-04-2021,0.005228563,0.289308
13-04-2021,0.006144171,0.170626
14-04-2021,0.044690738,0.588969
15-04-2021,0.005392464,0.518223
16-04-2021,-0.002542818,0.206116
19-04-2021,0.004184732,0.157655
20-04-2021,-0.007184584,0.060217
21-04-2021,-0.018955758,0.216294
22-04-2021,0.00122399,-0.095696
23-04-2021,0.010797763,-0.068182
26-04-2021,-0.006982421,0.235399
27-04-2021,0.011660615,-0.054458
28-04-2021,0.012716156,0.193534
29-04-2021,0.018994902,0.196463
30-04-2021,-0.019292256,0.493445
03-05-2021,0.004599073,0.148092
04-05-2021,0.019349768,-0.069137
05-05-2021,0.001160766,0.203149
06-05-2021,-0.012696267,0.20937
07-05-2021,0.002786538,-0.102895
10-05-2021,0.000585652,0.338501
11-05-2021,0.003360857,0.374882
12-05-2021,0.011170059,-0.125292
13-05-2021,-0.033294855,0.178978
14-05-2021,0.024456139,-0.17901
17-05-2021,0.010856298,0.186026
18-05-2021,-0.010856298,-0.041701
19-05-2021,-0.030289676,0.230317
20-05-2021,-0.023526926,-0.427857
21-05-2021,0.020221137,-0.220316
24-05-2021,0.029950348,0.321276
25-05-2021,0.002771499,0.392735
26-05-2021,0.003199537,0.124111
27-05-2021,0.008530378,0.064233
28-05-2021,0.002444462,-0.018115
31-05-2021,-0.004462044,0.259691
01-06-2021,0.013326843,0.283789
02-06-2021,0.015537036,0.186315
03-06-2021,-0.000560774,0.348743
04-06-2021,0.008100603,-0.002434
07-06-2021,-0.005579593,0.317704
08-06-2021,0.010159436,-0.188633
09-06-2021,0,-0.09306
10-06-2021,0.00414537,0.119967
