Date,Return
02-07-2019,-0.041744646
03-07-2019,0.022501345
04-07-2019,-0.008181292
05-07-2019,0.014585062
08-07-2019,-0.001870033
09-07-2019,0.000779606
10-07-2019,0.043461898
11-07-2019,-0.007339208
12-07-2019,0.003002104
15-07-2019,-0.003603608
16-07-2019,-0.032564217
17-07-2019,-0.010780512
18-07-2019,-0.027551707
19-07-2019,0.008681727
22-07-2019,0.012566776
23-07-2019,0.008970081
24-07-2019,-0.010235504
25-07-2019,0.003318325
26-07-2019,0.001103666
29-07-2019,0.00393175
30-07-2019,0.015728737
31-07-2019,0.006928968
01-08-2019,-0.074355875
02-08-2019,0.022715251
05-08-2019,-0.034185745
06-08-2019,-0.014652894
07-08-2019,-0.047069555
08-08-2019,0.020245388
09-08-2019,0.019843633
12-08-2019,0.000683177
13-08-2019,0.045557223
14-08-2019,-0.030139721
15-08-2019,-0.021239436
16-08-2019,0.007016372
19-08-2019,0.018584755
20-08-2019,0.004842624
21-08-2019,0.004487666
22-08-2019,-0.006321765
23-08-2019,-0.009726724
26-08-2019,-0.010843888
27-08-2019,0.013704639
28-08-2019,0.016333696
29-08-2019,0.009706418
30-08-2019,-0.01069881
02-09-2019,-0.029727607
03-09-2019,-0.006842312
04-09-2019,0.041027947
05-09-2019,0.004110158
06-09-2019,0.009633514
09-09-2019,0.016918151
10-09-2019,-0.00336081
11-09-2019,-0.025490462
12-09-2019,-0.007096325
13-09-2019,-0.002653401
16-09-2019,0.136391795
17-09-2019,-0.0669562
18-09-2019,-0.014826647
19-09-2019,0.012500163
20-09-2019,-0.001865092
23-09-2019,0.007593992
24-09-2019,-0.026121764
25-09-2019,-0.011315763
26-09-2019,0.005594197
27-09-2019,-0.013317485
30-09-2019,-0.01842093
01-10-2019,-0.031589491
02-10-2019,-0.020587449
03-10-2019,0.00034662
04-10-2019,0.01137159
07-10-2019,-0.0003427
08-10-2019,-0.001886955
09-10-2019,0.001372684
10-10-2019,0.013285837
11-10-2019,0.023577716
14-10-2019,-0.01935652
15-10-2019,-0.010331195
16-10-2019,0.011509944
17-10-2019,0.008212566
18-10-2019,-0.008212566
21-10-2019,-0.007771622
22-10-2019,0.012472773
23-10-2019,0.024324853
24-10-2019,0.008140716
25-10-2019,0.005659325
28-10-2019,-0.007282175
29-10-2019,0.000324781
30-10-2019,-0.016039624
31-10-2019,-0.006289329
01-11-2019,0.023951276
04-11-2019,0.007107121
05-11-2019,0.01327064
06-11-2019,-0.019567585
07-11-2019,0.00886888
08-11-2019,0.003525645
11-11-2019,-0.005293139
12-11-2019,-0.001931746
13-11-2019,0.004982732
14-11-2019,-0.001444044
15-11-2019,0.016244982
18-11-2019,-0.013679234
19-11-2019,-0.024808731
20-11-2019,0.024167911
21-11-2019,0.024848948
22-11-2019,-0.009108103
25-11-2019,0.004093205
26-11-2019,0.009693634
27-11-2019,-0.003272815
28-11-2019,-0.002970377
29-11-2019,-0.022803838
02-12-2019,-0.024484401
03-12-2019,-0.001642846
04-12-2019,0.035216044
05-12-2019,0.006171394
06-12-2019,0.015652221
09-12-2019,-0.002176618
10-12-2019,0.001399798
11-12-2019,-0.009683037
12-12-2019,0.007504726
13-12-2019,0.01576296
16-12-2019,0.001838236
17-12-2019,0.011564341
18-12-2019,0.001058441
19-12-2019,0.005576083
20-12-2019,-0.006029563
23-12-2019,0.003772735
24-12-2019,0.012126805
26-12-2019,0.010657294
27-12-2019,0.003527341
30-12-2019,0.004099567
31-12-2019,-0.036302707
02-01-2020,0.003780723
03-01-2020,0.03485707
06-01-2020,0.004508771
07-01-2020,-0.009330874
08-01-2020,-0.042336739
09-01-2020,-0.001070255
10-01-2020,-0.005983907
13-01-2020,-0.01207632
14-01-2020,0.004506962
15-01-2020,-0.00762709
16-01-2020,0.009640877
17-01-2020,0.00355295
20-01-2020,0.005382558
21-01-2020,-0.009399869
22-01-2020,-0.021597084
23-01-2020,-0.018683178
24-01-2020,-0.022000398
27-01-2020,-0.022832423
28-01-2020,0.003197848
29-01-2020,0.005028505
30-01-2020,-0.025742319
31-01-2020,-0.002232719
03-02-2020,-0.065914984
04-02-2020,-0.009039818
05-02-2020,0.024168148
06-02-2020,-0.006351532
07-02-2020,-0.008409556
10-02-2020,-0.02227677
11-02-2020,0.013795894
12-02-2020,0.032425427
13-02-2020,0.009810121
14-02-2020,0.017244841
17-02-2020,0.006087505
18-02-2020,0.001386242
19-02-2020,0.023445927
20-02-2020,0.003208649
21-02-2020,-0.013751172
24-02-2020,-0.038332219
25-02-2020,-0.024270854
26-02-2020,-0.028051295
27-02-2020,-0.023673106
28-02-2020,-0.032329982
02-03-2020,0.026949493
03-03-2020,-0.00077101
04-03-2020,-0.014176371
05-03-2020,-0.022548424
06-03-2020,-0.099178424
09-03-2020,-0.275751464
10-03-2020,0.079953154
11-03-2020,-0.039177726
12-03-2020,-0.074516421
13-03-2020,0.018786895
16-03-2020,-0.119076338
17-03-2020,-0.044920788
18-03-2020,-0.143877605
19-03-2020,0.134786633
20-03-2020,-0.053755051
23-03-2020,0.00185151
24-03-2020,0.004429686
25-03-2020,0.008800937
26-03-2020,-0.039089287
27-03-2020,-0.055016799
30-03-2020,-0.091067288
31-03-2020,-0.000879121
01-04-2020,0.084295879
02-04-2020,0.190774012
03-04-2020,0.130395217
06-04-2020,-0.03156903
07-04-2020,-0.036356438
08-04-2020,0.029982156
09-04-2020,-0.042294861
13-04-2020,0.008225292
14-04-2020,-0.069803354
15-04-2020,-0.066703024
16-04-2020,0.004683849
17-04-2020,0.009302393
20-04-2020,-0.09363779
21-04-2020,-0.279761496
22-04-2020,0.052404937
23-04-2020,0.046051302
24-04-2020,0.005143804
27-04-2020,-0.070026188
28-04-2020,0.023239612
29-04-2020,0.096819748
30-04-2020,0.114326413
01-05-2020,0.045260094
04-05-2020,0.028338958
05-05-2020,0.129802021
06-05-2020,-0.041198774
07-05-2020,-0.008786809
08-05-2020,0.049985583
11-05-2020,-0.044231632
12-05-2020,0.011743131
13-05-2020,-0.026704308
14-05-2020,0.0643458
15-05-2020,0.043068105
18-05-2020,0.068664612
19-05-2020,-0.004606976
20-05-2020,0.031252544
21-05-2020,0.008633949
22-05-2020,-0.026128751
25-05-2020,0.011321944
26-05-2020,0.017852636
27-05-2020,-0.040338285
28-05-2020,0.015707877
29-05-2020,0.001132824
01-06-2020,0.081239492
02-06-2020,0.032099302
03-06-2020,0.005544369
04-06-2020,0.005013798
05-06-2020,0.056157663
08-06-2020,-0.036105005
09-06-2020,0.00927062
10-06-2020,0.013267593
11-06-2020,-0.079264195
12-06-2020,0.004658394
15-06-2020,0.025240346
16-06-2020,0.030741142
17-06-2020,-0.006122218
18-06-2020,0.0194606
19-06-2020,0.016248864
22-06-2020,0.020875626
23-06-2020,-0.010500622
24-06-2020,-0.055958654
25-06-2020,0.018191259
26-06-2020,-0.000731083
29-06-2020,0.016681156
30-06-2020,-0.013516981
01-07-2020,0.021159722
02-07-2020,0.026066992
03-07-2020,-0.007912538
06-07-2020,0.006984895
07-07-2020,-0.000464145
08-07-2020,0.004862809
09-07-2020,-0.02195324
10-07-2020,0.020797572
13-07-2020,-0.012098798
14-07-2020,0.004204631
15-07-2020,0.020533655
16-07-2020,-0.009637523
17-07-2020,-0.005317317
20-07-2020,0.003239994
21-07-2020,0.023745408
22-07-2020,-0.000677125
23-07-2020,-0.022375363
24-07-2020,0.000692441
27-07-2020,0.001613833
28-07-2020,-0.004386478
29-07-2020,0.012188262
30-07-2020,-0.01868782
31-07-2020,0.008348843
03-08-2020,0.019440292
04-08-2020,0.00632199
05-08-2020,0.016518233
06-08-2020,-0.001772657
07-08-2020,-0.015421023
10-08-2020,0.013200773
11-08-2020,-0.010951054
12-08-2020,0.020683491
13-08-2020,-0.010399474
14-08-2020,-0.003565066
17-08-2020,0.012642954
18-08-2020,0.001981725
19-08-2020,-0.001981725
20-08-2020,-0.010413299
21-08-2020,-0.012325086
24-08-2020,0.017434505
25-08-2020,0.016046064
26-08-2020,-0.004808752
27-08-2020,-0.012124033
28-08-2020,-0.000887508
31-08-2020,0.00509245
01-09-2020,0.00660359
02-09-2020,-0.025554107
03-09-2020,-0.008135638
04-09-2020,-0.032517566
07-09-2020,-0.015354028
08-09-2020,-0.054543412
09-09-2020,0.02507268
10-09-2020,-0.018058623
11-09-2020,-0.005757933
14-09-2020,-0.005538786
15-09-2020,0.022960829
16-09-2020,0.040851602
17-09-2020,0.025258593
18-09-2020,-0.003470217
21-09-2020,-0.04043582
22-09-2020,0.006734032
23-09-2020,0.001197748
24-09-2020,0.004061647
25-09-2020,-0.000476985
28-09-2020,0.012092619
29-09-2020,-0.033552153
30-09-2020,-0.001951696
01-10-2020,-0.00048852
02-10-2020,-0.041402422
05-10-2020,0.050159471
06-10-2020,0.032406934
07-10-2020,-0.015595779
08-10-2020,0.031644501
09-10-2020,-0.011370351
12-10-2020,-0.026725015
13-10-2020,0.017346283
14-10-2020,0.020287509
15-10-2020,-0.003700282
16-10-2020,-0.005343258
19-10-2020,-0.007247256
20-10-2020,0.012590514
21-10-2020,-0.033693846
22-10-2020,0.017342162
23-10-2020,-0.016384078
26-10-2020,-0.031864547
27-10-2020,0.018124425
28-10-2020,-0.051804411
29-10-2020,-0.038300891
30-10-2020,-0.005059257
02-11-2020,0.039518422
03-11-2020,0.018810926
04-11-2020,0.037563102
05-11-2020,-0.007302856
06-11-2020,-0.036829243
09-11-2020,0.072114315
10-11-2020,0.02813812
11-11-2020,0.004347336
12-11-2020,-0.006183462
13-11-2020,-0.017379652
16-11-2020,0.024019631
17-11-2020,-0.001598721
18-11-2020,0.013395591
19-11-2020,-0.003162415
20-11-2020,0.017048417
23-11-2020,0.024171689
24-11-2020,0.038335188
25-11-2020,0.015549189
26-11-2020,-0.016803632
27-11-2020,0.007918358
30-11-2020,-0.012321342
