Date,Open,High,Low,Close,CO1 Comdty - Open Interest,SMAVG (15),,
02-10-2020,40.65,40.77,38.79,39.27,526003,243186,,-0.041402422
05-10-2020,39.19,41.78,39.14,41.29,503509,254037,,0.050159471
06-10-2020,41.41,42.84,41.22,42.65,487366,266085,,0.032406934
07-10-2020,41.85,42.42,41.36,41.99,461647,277779,,-0.015595779
08-10-2020,42.15,43.47,41.86,43.34,447091,290173,,0.031644501
09-10-2020,43.36,43.57,42.61,42.85,443411,303404,,-0.011370351
12-10-2020,42.6,42.71,41.36,41.72,424904,316429,,-0.026725015
13-10-2020,41.81,42.68,41.66,42.45,408229,329659,,0.017346283
14-10-2020,42.43,43.45,42.13,43.32,394329,343994,,0.020287509
15-10-2020,43.45,43.48,41.56,43.16,372009,358325,,-0.003700282
16-10-2020,43.1,43.21,42.27,42.93,351025,372756,,-0.005343258
19-10-2020,42.69,43.23,42.36,42.62,332782,387654,,-0.007247256
20-10-2020,42.45,43.3,42.19,43.16,319155,404500,,0.012590514
21-10-2020,42.91,43.04,41.45,41.73,308196,420745,,-0.033693846
22-10-2020,41.59,42.79,41.46,42.46,260989,402710,,0.017342162
23-10-2020,42.4,42.8,41.5,41.77,229909,382970,,-0.016384078
26-10-2020,41.53,41.63,40.22,40.46,218235,363952,,-0.031864547
27-10-2020,40.5,41.47,40.4,41.2,166367,342552,,0.018124425
28-10-2020,40.61,40.7,38.75,39.12,148226,321657,,-0.051804411
29-10-2020,39.16,39.45,36.64,37.65,75469,296882,,-0.038300891
30-10-2020,37.5,38.1,36.8,37.46,70659,272032,,-0.005059257
02-11-2020,37.37,39.36,35.74,38.97,507992,277571,,0.039518422
03-11-2020,39.26,40.45,38.65,39.71,496579,283461,,0.018810926
04-11-2020,40.13,41.33,39.42,41.23,487183,289652,,0.037563102
05-11-2020,40.96,41.53,40.33,40.93,462175,295663,,-0.007302856
06-11-2020,40.63,40.69,39.34,39.45,443518,301829,,-0.036829243
09-11-2020,39.65,43.48,39.46,42.4,417944,307506,,0.072114315
10-11-2020,41.75,44.11,41.71,43.61,374157,311173,,0.02813812
11-11-2020,43.77,45.3,43.6,43.8,335579,312999,,0.004347336
12-11-2020,43.73,44.5,43.26,43.53,329449,317563,,-0.006183462
13-11-2020,43.2,43.34,42.63,42.78,326304,323989,,-0.017379652
16-11-2020,42.71,44.67,42.71,43.82,299682,329419,,0.024019631
